标题,相关性得分,发表日期,作者,分类,链接,英文摘要,中文介绍
Impacts of Aggregation on Model Diversity and Consumer Utility,10.0,2026-02-26,"Kate Donahue, Manish Raghavan","cs.GT, cs.CY",http://arxiv.org/abs/2602.23293v1,"Consider a marketplace of AI tools, each with slightly different strengths and weaknesses. By selecting the right model for the task at hand, a user can do better than simply committing to a single model for everything. Routers operate under a similar principle, where sophisticated model selection can increase overall performance. However, aggregation is often noisy, reflecting in imperfect user choices or routing decisions. This leads to two main questions: first, what does a ""healthy marketplace"" of models look like for maximizing consumer utility? Secondly, how can we incentivize producers to create such models? Here, we study two types of model changes: market entry (where an entirely new model is created and added to the set of available models), and model replacement (where an existing model has its strengths and weaknesses changed). We show that winrate, a standard benchmark in LLM evaluation, can incentivize model creators to homogenize for both types of model changes, reducing consumer welfare. We propose a new mechanism, weighted winrate, which rewards models for answers that are higher quality, and show that it provably improves incentives for producers to specialize and increases consumer welfare. We conclude by demonstrating that our theoretical results generalize to empirical benchmark datasets and discussing implications for evaluation design.",该论文研究了如何从模型选择中性能的问题。为模型选择领域提供了创新性的技术方案。
Relatron: Automating Relational Machine Learning over Relational Databases,10.0,2026-02-26,"Zhikai Chen, Han Xie, Jian Zhang, Jiliang Tang, Xiang Song, Huzefa Rangwala",cs.LG,http://arxiv.org/abs/2602.22552v1,"Predictive modeling over relational databases (RDBs) powers applications, yet remains challenging due to capturing both cross-table dependencies and complex feature interactions. Relational Deep Learning (RDL) methods automate feature engineering via message passing, while classical approaches like Deep Feature Synthesis (DFS) rely on predefined non-parametric aggregators. Despite performance gains, the comparative advantages of RDL over DFS and the design principles for selecting effective architectures remain poorly understood. We present a comprehensive study that unifies RDL and DFS in a shared design space and conducts architecture-centric searches across diverse RDB tasks. Our analysis yields three key findings: (1) RDL does not consistently outperform DFS, with performance being highly task-dependent; (2) no single architecture dominates across tasks, underscoring the need for task-aware model selection; and (3) validation accuracy is an unreliable guide for architecture choice. This search yields a model performance bank that links architecture configurations to their performance; leveraging this bank, we analyze the drivers of the RDL-DFS performance gap and introduce two task signals -- RDB task homophily and an affinity embedding that captures size, path, feature, and temporal structure -- whose correlation with the gap enables principled routing. Guided by these signals, we propose Relatron, a task embedding-based meta-selector that chooses between RDL and DFS and prunes the within-family search. Lightweight loss-landscape metrics further guard against brittle checkpoints by preferring flatter optima. In experiments, Relatron resolves the ""more tuning, worse performance"" effect and, in joint hyperparameter-architecture optimization, achieves up to 18.5% improvement over strong baselines with 10x lower cost than Fisher information-based alternatives.",作者开发了一个模型选择系统，通过学习如何从性能中进行选择。在保证性能的同时有效降低了计算成本。
Don't stop me now: Rethinking Validation Criteria for Model Parameter Selection,10.0,2026-02-25,"Andrea Apicella, Francesco Isgrò, Andrea Pollastro, Roberto Prevete","cs.LG, cs.AI",http://arxiv.org/abs/2602.22107v1,"Despite the extensive literature on training loss functions, the evaluation of generalization on the validation set remains underexplored. In this work, we conduct a systematic empirical and statistical study of how the validation criterion used for model selection affects test performance in neural classifiers, with attention to early stopping. Using fully connected networks on standard benchmarks under $k$-fold evaluation, we compare: (i) early stopping with patience and (ii) post-hoc selection over all epochs (i.e. no early stopping). Models are trained with cross-entropy, C-Loss, or PolyLoss; the model parameter selection on the validation set is made using accuracy or one of the three loss functions, each considered independently. Three main findings emerge. (1) Early stopping based on validation accuracy performs worst, consistently selecting checkpoints with lower test accuracy than both loss-based early stopping and post-hoc selection. (2) Loss-based validation criteria yield comparable and more stable test accuracy. (3) Across datasets and folds, any single validation rule often underperforms the test-optimal checkpoint. Overall, the selected model typically achieves test-set performance statistically lower than the best performance across all epochs, regardless of the validation criterion. Our results suggest avoiding validation accuracy (in particular with early stopping) for parameter selection, favoring loss-based validation criteria.",该论文研究了如何从模型选择中性能的问题。在任务准确率方面达到了先进水平。
A Robust Analysis of QU-fitting Behavior for 800-1088 MHz and 1296-1440 MHz,10.0,2026-02-25,"Lindsey Oberhelman, Cameron L. Van Eck, N. M. McClure-Griffiths, Yik Ki Ma, Alec J. M. Thomson, Jason M. Price, Shinsuke Ideguchi, Craig S. Anderson, Marijke Haverkorn, Denis Leahy, Takuya Akahori, Jennifer West",astro-ph.GA,http://arxiv.org/abs/2602.21739v1,"QU-fitting is a powerful tool for interpreting spectro-polarimetric radio continuum observations by linking them to physical models, enabling estimates of the magnetic fields in, for example, the Milky Way, galaxy clusters, and radio jets. We present a comprehensive investigation into the effectiveness and limitations of QU-fitting within the ASKAP POSSUM survey frequency ranges (800-1088 MHz and 1296-1440 MHz) with projections to other spectro-polarimetric radio observations. We simulate different physical polarization sources: Faraday simple, Burn slab, internal turbulence, external turbulence, and two-component models in the POSSUM frequencies, and assess their observational degeneracies and fit accuracies. Our results highlight the model-dependent nature of reliable fitting and identify specific regions of parameter space where model selection, and therefore characterization of the physical medium, becomes ambiguous. For QU-fitting we find the Bayes factor, computed using the marginal likelihood, outperforms more traditionally used goodness-of-fit metrics such as Bayesian Information Criterion (BIC), Akaike Information Criterion (AIC), and chi-squared for model selection. We provide empirical relationships to delineate the boundaries where model distinguishability is impossible. Finally, we evaluate how accurately QU-fitting recovers model parameters and their associated uncertainties, thereby assessing its ability to correctly characterize the Faraday-rotating medium in both point and extended sources in Faraday depth space.",该论文研究了如何从模型选择中大语言模型的问题。为模型选择领域提供了创新性的技术方案。
Using Unsupervised Domain Adaptation Semantic Segmentation for Pulmonary Embolism Detection in Computed Tomography Pulmonary Angiogram (CTPA) Images,10.0,2026-02-23,"Wen-Liang Lin, Yun-Chien Cheng","eess.IV, cs.CV",http://arxiv.org/abs/2602.19891v1,"While deep learning has demonstrated considerable promise in computer-aided diagnosis for pulmonary embolism (PE), practical deployment in Computed Tomography Pulmonary Angiography (CTPA) is often hindered by ""domain shift"" and the prohibitive cost of expert annotations. To address these challenges, an unsupervised domain adaptation (UDA) framework is proposed, utilizing a Transformer backbone and a Mean-Teacher architecture for cross-center semantic segmentation. The primary focus is placed on enhancing pseudo-label reliability by learning deep structural information within the feature space. Specifically, three modules are integrated and designed for this task: (1) a Prototype Alignment (PA) mechanism to reduce category-level distribution discrepancies; (2) Global and Local Contrastive Learning (GLCL) to capture both pixel-level topological relationships and global semantic representations; and (3) an Attention-based Auxiliary Local Prediction (AALP) module designed to reinforce sensitivity to small PE lesions by automatically extracting high-information slices from Transformer attention maps. Experimental validation conducted on cross-center datasets (FUMPE and CAD-PE) demonstrates significant performance gains. In the FUMPE -> CAD-PE task, the IoU increased from 0.1152 to 0.4153, while the CAD-PE -> FUMPE task saw an improvement from 0.1705 to 0.4302. Furthermore, the proposed method achieved a 69.9% Dice score in the CT -> MRI cross-modality task on the MMWHS dataset without utilizing any target-domain labels for model selection, confirming its robustness and generalizability for diverse clinical environments.",作者开发了一个模型选择系统，通过学习如何从性能中进行选择。为模型选择领域提供了创新性的技术方案。
Beyond Accuracy: A Unified Random Matrix Theory Diagnostic Framework for Crash Classification Models,10.0,2026-02-23,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma","cs.LG, stat.ML",http://arxiv.org/abs/2602.19528v1,"Crash classification models in transportation safety are typically evaluated using accuracy, F1, or AUC, metrics that cannot reveal whether a model is silently overfitting. We introduce a spectral diagnostic framework grounded in Random Matrix Theory (RMT) and Heavy-Tailed Self-Regularization (HTSR) that spans the ML taxonomy: weight matrices for BERT/ALBERT/Qwen2.5, out-of-fold increment matrices for XGBoost/Random Forest, empirical Hessians for Logistic Regression, induced affinity matrices for Decision Trees, and Graph Laplacians for KNN. Evaluating nine model families on two Iowa DOT crash classification tasks (173,512 and 371,062 records respectively), we find that the power-law exponent $α$ provides a structural quality signal: well-regularized models consistently yield $α$ within $[2, 4]$ (mean $2.87 \pm 0.34$), while overfit variants show $α< 2$ or spectral collapse. We observe a strong rank correlation between $α$ and expert agreement (Spearman $ρ= 0.89$, $p < 0.001$), suggesting spectral quality captures model behaviors aligned with expert reasoning. We propose an $α$-based early stopping criterion and a spectral model selection protocol, and validate both against cross-validated F1 baselines. Sparse Lanczos approximations make the framework scalable to large datasets.",该论文研究了如何从模型选择中准确率的问题。在任务准确率方面达到了先进水平。
Human-Guided Agentic AI for Multimodal Clinical Prediction: Lessons from the AgentDS Healthcare Benchmark,10.0,2026-02-23,"Lalitha Pranathi Pulavarthy, Raajitha Muthyala, Aravind V Kuruvikkattil, Zhenan Yin, Rashmita Kudamala, Saptarshi Purkayastha","cs.AI, cs.LG",http://arxiv.org/abs/2602.19502v1,"Agentic AI systems are increasingly capable of autonomous data science workflows, yet clinical prediction tasks demand domain expertise that purely automated approaches struggle to provide. We investigate how human guidance of agentic AI can improve multimodal clinical prediction, presenting our approach to all three AgentDS Healthcare benchmark challenges: 30-day hospital readmission prediction (Macro-F1 = 0.8986), emergency department cost forecasting (MAE = $465.13), and discharge readiness assessment (Macro-F1 = 0.7939). Across these tasks, human analysts directed the agentic workflow at key decision points, multimodal feature engineering from clinical notes, scanned PDF billing receipts, and time-series vital signs; task-appropriate model selection; and clinically informed validation strategies. Our approach ranked 5th overall in the healthcare domain, with a 3rd-place finish on the discharge readiness task. Ablation studies reveal that human-guided decisions compounded to a cumulative gain of +0.065 F1 over automated baselines, with multimodal feature extraction contributing the largest single improvement (+0.041 F1). We distill three generalizable lessons: (1) domain-informed feature engineering at each pipeline stage yields compounding gains that outperform extensive automated search; (2) multimodal data integration requires task-specific human judgment that no single extraction strategy generalizes across clinical text, PDFs, and time-series; and (3) deliberate ensemble diversity with clinically motivated model configurations outperforms random hyperparameter search. These findings offer practical guidance for teams deploying agentic AI in healthcare settings where interpretability, reproducibility, and clinical validity are essential.",该论文研究了如何从模型选择中大语言模型的问题。为模型选择领域提供了创新性的技术方案。
Decoding ML Decision: An Agentic Reasoning Framework for Large-Scale Ranking System,10.0,2026-02-20,"Longfei Yun, Yihan Wu, Haoran Liu, Xiaoxuan Liu, Ziyun Xu, Yi Wang, Yang Xia, Pengfei Wang, Mingze Gao, Yunxiang Wang, Changfan Chen, Junfeng Pan",cs.AI,http://arxiv.org/abs/2602.18640v1,"Modern large-scale ranking systems operate within a sophisticated landscape of competing objectives, operational constraints, and evolving product requirements. Progress in this domain is increasingly bottlenecked by the engineering context constraint: the arduous process of translating ambiguous product intent into reasonable, executable, verifiable hypotheses, rather than by modeling techniques alone. We present GEARS (Generative Engine for Agentic Ranking Systems), a framework that reframes ranking optimization as an autonomous discovery process within a programmable experimentation environment. Rather than treating optimization as static model selection, GEARS leverages Specialized Agent Skills to encapsulate ranking expert knowledge into reusable reasoning capabilities, enabling operators to steer systems via high-level intent vibe personalization. Furthermore, to ensure production reliability, the framework incorporates validation hooks to enforce statistical robustness and filter out brittle policies that overfit short-term signals. Experimental validation across diverse product surfaces demonstrates that GEARS consistently identifies superior, near-Pareto-efficient policies by synergizing algorithmic signals with deep ranking context while maintaining rigorous deployment stability.",该论文研究了如何从模型选择中大语言模型的问题。在计算资源利用和推理速度方面表现出色。
Improving Generalizability of Hip Fracture Risk Prediction via Domain Adaptation Across Multiple Cohorts,10.0,2026-02-20,"Shuo Sun, Meiling Zhou, Chen Zhao, Joyce H. Keyak, Nancy E. Lane, Jeffrey D. Deng, Kuan-Jui Su, Hui Shen, Hong-Wen Deng, Kui Zhang, Weihua Zhou",cs.LG,http://arxiv.org/abs/2602.17962v1,"Clinical risk prediction models often fail to be generalized across cohorts because underlying data distributions differ by clinical site, region, demographics, and measurement protocols. This limitation is particularly pronounced in hip fracture risk prediction, where the performance of models trained on one cohort (the source cohort) can degrade substantially when deployed in other cohorts (target cohorts). We used a shared set of clinical and DXA-derived features across three large cohorts - the Study of Osteoporotic Fractures (SOF), the Osteoporotic Fractures in Men Study (MrOS), and the UK Biobank (UKB), to systematically evaluate the performance of three domain adaptation methods - Maximum Mean Discrepancy (MMD), Correlation Alignment (CORAL), and Domain - Adversarial Neural Networks (DANN) and their combinations. For a source cohort with males only and a source cohort with females only, domain-adaptation methods consistently showed improved performance than the no-adaptation baseline (source-only training), and the use of combinations of multiple domain adaptation methods delivered the largest and most stable gains. The method that combines MMD, CORAL, and DANN achieved the highest discrimination with the area under curve (AUC) of 0.88 for a source cohort with males only and 0.95 for a source cohort with females only), demonstrating that integrating multiple domain adaptation methods could produce feature representations that are less sensitive to dataset differences. Unlike existing methods that rely heavily on supervised tuning or assume known outcomes of samples in target cohorts, our outcome-free approaches enable the model selection under realistic deployment conditions and improve generalization of models in hip fracture risk prediction.",该论文研究了如何从模型选择中性能的问题。为模型选择领域提供了创新性的技术方案。
Parametric or nonparametric: the FIC approach for stationary time series,10.0,2026-02-19,"Gudmund Hermansen, Nils Lid Hjort, Martin Jullum",stat.ME,http://arxiv.org/abs/2602.17261v1,"We seek to narrow the gap between parametric and nonparametric modelling of stationary time series processes. The approach is inspired by recent advances in focused inference and model selection techniques. The paper generalises and extends recent work by developing a new version of the focused information criterion (FIC), directly comparing the performance of parametric time series models with a nonparametric alternative. For a pre-specified focused parameter, for which scrutiny is considered valuable, this is achieved by comparing the mean squared error of the model-based estimators of this quantity. In particular, this yields FIC formulae for covariances or correlations at specified lags, for the probability of reaching a threshold, etc. Suitable weighted average versions, the AFIC, also lead to model selection strategies for finding the best model for the purpose of estimating e.g.~a sequence of correlations.",该论文研究了如何从模型选择中性能的问题。为模型选择领域提供了创新性的技术方案。
A general framework for modeling Gaussian process with qualitative and quantitative factors,10.0,2026-02-18,"Linsui Deng, C. F. Jeff Wu",stat.ME,http://arxiv.org/abs/2602.16328v1,"Computer experiments involving both qualitative and quantitative (QQ) factors have attracted increasing attention. Gaussian process (GP) models have proven effective in this context by choosing specialized covariance functions for QQ factors. In this work, we extend the latent variable-based GP approach, which maps qualitative factors into a continuous latent space, by establishing a general framework to apply standard kernel functions to continuous latent variables. This approach provides a novel perspective for interpreting some existing GP models for QQ factors and introduces new covariance structures in some situations. The ordinal structure can be incorporated naturally and seamlessly in this framework. Furthermore, the Bayesian information criterion and leave-one-out cross-validation are employed for model selection and model averaging. The performance of the proposed method is comprehensively studied on several examples.",该论文研究了如何从模型选择中性能的问题。为模型选择领域提供了创新性的技术方案。
Benchmark Illusion: Disagreement among LLMs and Its Scientific Consequences,10.0,2026-02-12,"Eddie Yang, Dashun Wang",cs.CL,http://arxiv.org/abs/2602.11898v1,"Benchmarks underpin how progress in large language models (LLMs) is measured and trusted. Yet our analyses reveal that apparent convergence in benchmark accuracy can conceal deep epistemic divergence. Using two major reasoning benchmarks - MMLU-Pro and GPQA - we show that LLMs achieving comparable accuracy still disagree on 16-66% of items, and 16-38% among top-performing frontier models. These discrepancies suggest distinct error profiles for different LLMs. When such models are used for scientific data annotation and inference, their hidden disagreements propagate into research results: in re-analyses of published studies in education and political science, switching the annotation model can change estimated treatment effects by more than 80%, and in some cases reverses their sign. Together, these findings illustrate a benchmark illusion, where equal accuracy may conceal disagreement, with model choice becoming a hidden yet consequential variable for scientific reproducibility.",该论文研究了如何从模型选择中准确率的问题。在任务准确率方面达到了先进水平。
TUBO: A Tailored ML Framework for Reliable Network Traffic Forecasting,10.0,2026-02-12,"Zhihang Yuan, Leyang Xue, Waleed Ahsan, Mahesh K. Marina",cs.LG,http://arxiv.org/abs/2602.11759v1,"Traffic forecasting based network operation optimization and management offers enormous promise but also presents significant challenges from traffic forecasting perspective. While deep learning models have proven to be relatively more effective than traditional statistical methods for time series forecasting, their reliability is not satisfactory due to their inability to effectively handle unique characteristics of network traffic. In particular, the burst and complex traffic patterns makes the existing models less reliable, as each type of deep learning model has limited capability in capturing traffic patterns. To address this issue, we introduce TUBO, a novel machine learning framework custom designed for reliable network traffic forecasting. TUBO features two key components: burst processing for handling significant traffic fluctuations and model selection for adapting to varying traffic patterns using a pool of models. A standout feature of TUBO is its ability to provide deterministic predictions along with quantified uncertainty, which serves as a cue for identifying the most reliable forecasts. Evaluations on three real-world network demand matrix (DM) datasets (Abilene, GEANT, and CERNET) show that TUBO significantly outperforms existing methods on forecasting accuracy (by 4 times), and also achieves up to 94% accuracy in burst occurrence forecasting. Furthermore, we also consider traffic demand forecasting based proactive traffic engineering (TE) as a downstream use case. Our results show that compared to reactive approaches and proactive TE using the best existing DM forecasting methods, proactive TE powered by TUBO improves aggregated throughput by 9 times and 3 times, respectively.",作者开发了一个模型选择系统，通过学习如何从准确率中进行选择。在任务准确率方面达到了先进水平。
A New Look at Bayesian Testing,10.0,2026-02-11,"Jyotishka Datta, Nicholas G. Polson, Vadim Sokolov, Daniel Zantedeschi","math.ST, stat.ME",http://arxiv.org/abs/2602.11132v2,"We study the asymptotic calibration of rejection thresholds for composite hypothesis tests under integrated (Bayes) risk. The risk-optimal rejection boundary lies on the moderate deviation scale $nλ_n^2 \asymp \log n$, yielding critical values of order $\sqrt{\log n}$ in contrast to the sample-size-invariant calibrations of classical testing. We state explicit assumptions (Cramér regularity, local prior smoothness, symmetric loss) under which Bayes risk minimization selects the moderate deviation boundary. A uniform moderate deviation lemma provides the tail approximations that drive the analysis. We derive the exact threshold $t_{\mathrm{crit}} = \sqrt{\log(πn/2)}$ for the Cauchy prior via Laplace expansion and show that the $\sqrt{\log n}$ scaling is universal across regular priors and extends to one-parameter exponential families under standard local asymptotic normality. The framework unifies Jeffreys' $\sqrt{\log n}$ threshold, the BIC penalty $(d/2)\log n$, and the Chernoff--Stein error exponents as consequences of moderate deviation analysis of Bayes risk. We extend the Rubin & Sethuraman (1965a) program to contemporary settings including high-dimensional sparse inference and model selection, and provide algebraic comparisons with fixed-$α$ and e-value calibrations.",该论文研究了如何从模型选择中大语言模型的问题。为模型选择领域提供了创新性的技术方案。
The Garbage Dataset (GD): A Multi-Class Image Benchmark for Automated Waste Segregation,10.0,2026-02-11,Suman Kunwar,cs.CV,http://arxiv.org/abs/2602.10500v1,"This study introduces the Garbage Dataset (GD), a publicly available image dataset designed to advance automated waste segregation through machine learning and computer vision. It's a diverse dataset covering 10 common household waste categories: metal, glass, biological, paper, battery, trash, cardboard, shoes, clothes, and plastic. The dataset comprises 13,348 labeled images collected through multiple methods, including DWaste mobile app and curated web sources. Methods included rigorous validation through checksums and outlier detection, analysis of class imbalance and visual separability via PCA/t-SNE, and assessment of background complexity using entropy and saliency measures. The dataset was benchmarked using state-of-the-art deep learning models (EfficientNetV2M, EfficientNetV2S, MobileNet, ResNet50, ResNet101) evaluated on performance metrics and operational carbon emissions. Experiment results indicate EfficientNetV2S achieved the highest performance with 96.19% accuracy and a 0.96 F1-score, though with a moderate carbon cost. Analysis revealed inherent dataset characteristics including class imbalance, a skew toward high-outlier classes (plastic, cardboard, paper), and brightness variations that require consideration. The main conclusion is that GD provides a valuable, real-world benchmark for waste classification research while highlighting important challenges such as class imbalance, background complexity, and environmental trade-offs in model selection that must be addressed for practical deployment. The dataset is publicly released to support further research in environmental sustainability applications.",作者开发了一个模型选择系统，通过学习如何从性能中进行选择。实验结果表明该方法在效率和预测性能方面均有显著提升。
Whose Name Comes Up? Benchmarking and Intervention-Based Auditing of LLM-Based Scholar Recommendation,10.0,2026-02-09,"Lisette Espin-Noboa, Gonzalo Gabriel Mendez","cs.IR, cs.AI, cs.CY, cs.SI, physics.soc-ph",http://arxiv.org/abs/2602.08873v1,"Large language models (LLMs) are increasingly used for academic expert recommendation. Existing audits typically evaluate model outputs in isolation, largely ignoring end-user inference-time interventions. As a result, it remains unclear whether failures such as refusals, hallucinations, and uneven coverage stem from model choice or deployment decisions. We introduce LLMScholarBench, a benchmark for auditing LLM-based scholar recommendation that jointly evaluates model infrastructure and end-user interventions across multiple tasks. LLMScholarBench measures both technical quality and social representation using nine metrics. We instantiate the benchmark in physics expert recommendation and audit 22 LLMs under temperature variation, representation-constrained prompting, and retrieval-augmented generation (RAG) via web search. Our results show that end-user interventions do not yield uniform improvements but instead redistribute error across dimensions. Higher temperature degrades validity, consistency, and factuality. Representation-constrained prompting improves diversity at the expense of factuality, while RAG primarily improves technical quality while reducing diversity and parity. Overall, end-user interventions reshape trade-offs rather than providing a general fix. We release code and data that can be adapted to other disciplines by replacing domain-specific ground truth and metrics.",该论文研究了如何从模型选择中大语言模型的问题。为模型选择领域提供了创新性的技术方案。
Kosmulator: A Python framework for cosmological inference with MCMC,10.0,2026-02-09,"Renier T. Hough, Robert Rugg, Shambel Sahlu, Amare Abebe","astro-ph.CO, gr-qc",http://arxiv.org/abs/2602.08424v1,"We present Kosmulator, a modular and vectorised Python framework designed to accelerate the statistical testing of cosmological models. As the theoretical landscape expands beyond standard $Λ$CDM, implementing new expansion histories into traditional Einstein--Boltzmann solvers becomes a significant computational bottleneck. Kosmulator addresses this by leveraging array-native execution and efficient ensemble slice sampling (via Zeus) to perform rapid Bayesian inference. We validate the framework against the industry-standard Cobaya code using a combination of Type Ia Supernovae, Cosmic Chronometers, and Baryon Acoustic Oscillation (BAO) data. Our results demonstrate that Kosmulator reproduces Cobaya's posterior constraints to within $\leq0.3σ$ statistical agreement on $H_{0}$ and $Ω_{m}$ and $<0.6\%$ precision on $χ^{2}$, while achieving a $\sim 4.5\times$ reduction in wall-clock time on a single CPU core compared to a standard MPI-parallelised baseline. Furthermore, we showcase the framework's utility by constraining the implicit power-law $f(Q)$ ""$f_1$CDM"" model and demonstrating its automated model selection capabilities (AIC/BIC). Kosmulator is introduced as a ""scientific sieve"" for rapid hypothesis testing, allowing researchers to efficiently filter theoretical candidates before deploying high-precision resources.",该论文研究了如何从模型选择中大语言模型的问题。在计算资源利用和推理速度方面表现出色。
Robustness Beyond Known Groups with Low-rank Adaptation,10.0,2026-02-06,"Abinitha Gourabathina, Hyewon Jeong, Teya Bergamaschi, Marzyeh Ghassemi, Collin Stultz",cs.LG,http://arxiv.org/abs/2602.06924v2,"Deep learning models trained to optimize average accuracy often exhibit systematic failures on particular subpopulations. In real world settings, the subpopulations most affected by such disparities are frequently unlabeled or unknown, thereby motivating the development of methods that are performant on sensitive subgroups without being pre-specified. However, existing group-robust methods typically assume prior knowledge of relevant subgroups, using group annotations for training or model selection. We propose Low-rank Error Informed Adaptation (LEIA), a simple two-stage method that improves group robustness by identifying a low-dimensional subspace in the representation space where model errors concentrate. LEIA restricts adaptation to this error-informed subspace via a low-rank adjustment to the classifier logits, directly targeting latent failure modes without modifying the backbone or requiring group labels. Using five real-world datasets, we analyze group robustness under three settings: (1) truly no knowledge of subgroup relevance, (2) partial knowledge of subgroup relevance, and (3) full knowledge of subgroup relevance. Across all settings, LEIA consistently improves worst-group performance while remaining fast, parameter-efficient, and robust to hyperparameter choice.",作者开发了一个模型选择系统，通过学习如何从性能中进行选择。实验结果表明该方法在效率和预测性能方面均有显著提升。
Testing cosmic anisotropy with cluster scaling relations,10.0,2026-02-05,"Tariq Yasin, Richard Stiskalek, Harry Desmond, Sebastian von Hausegger, Pedro G. Ferreira","astro-ph.CO, astro-ph.GA",http://arxiv.org/abs/2602.06007v1,"We test claims of large-scale anisotropy in the local expansion rate using cluster scaling relations as distance indicators. Using a Bayesian forward model, we jointly fit the X-ray luminosity--temperature (LT) and thermal Sunyaev-Zel'dovich--temperature (YT) relations, marginalising over the latent cluster distances and modelling selection effects as well as peculiar velocities. The latter are modelled using reconstructions of the local peculiar velocity field where we self-consistently account for possible anisotropic redshift--distance relations via an approximate scheme. This treatment proves crucial to the inferred anisotropy and breaks the degeneracy between anisotropy in scaling relation normalisations and underlying cosmological anisotropy. We apply our method to 312 clusters at $z \lesssim 0.2$, testing dipolar, quadrupolar and general (pixelised) anisotropy models. Bayesian model selection finds no more than weak evidence for any anisotropic model. For dipole models, we obtain upper limits of $δH_0 / H_0 < 3.2\%$ and bulk flow magnitude $< 1300\,\mathrm{km\,s^{-1}}$. Our results contrast with previous claims of statistically significant anisotropy from the same data, which we attribute to our principled forward modelling of both redshifts and scaling relation observables through latent distances and our treatment of the impact of anisotropic redshift--distance relations when modelling the local peculiar velocity field. Our work highlights the importance of accurately modelling peculiar velocities when testing isotropy with distance indicators, and motivates the further development of reconstructions that self-consistently treat large-scale deviations from the Hubble flow.",该论文研究了如何从模型选择中大语言模型的问题。为模型选择领域提供了创新性的技术方案。
A Bayesian Optimization-Based AutoML Framework for Non-Intrusive Load Monitoring,10.0,2026-02-05,"Nazanin Siavash, Armin Moin",cs.SE,http://arxiv.org/abs/2602.05739v1,"Non-Intrusive Load Monitoring (NILM), commonly known as energy disaggregation, aims to estimate the power consumption of individual appliances by analyzing a home's total electricity usage. This method provides a cost-effective alternative to installing dedicated smart meters for each appliance. In this paper, we introduce a novel framework that incorporates Automated Machine Learning (AutoML) into the NILM domain, utilizing Bayesian Optimization for automated model selection and hyperparameter tuning. This framework empowers domain practitioners to effectively apply machine learning techniques without requiring advanced expertise in data science or machine learning. To support further research and industry adoption, we present AutoML4NILM, a flexible and extensible open-source toolkit designed to streamline the deployment of AutoML solutions for energy disaggregation. Currently, this framework supports 11 algorithms, each with different hyperparameters; however, its flexible design allows for the extension of both the algorithms and their hyperparameters.",作者开发了一个模型选择系统，通过学习如何从大语言模型中进行选择。在保证性能的同时有效降低了计算成本。
The stochastic view used in climate sciences: (some) perspectives from (some of) mathematical statistics,10.0,2026-02-05,Nils Lid Hjort,stat.ME,http://arxiv.org/abs/2602.05611v1,"Climate statistics is of course a very broad field, along with the many connections and impacts for yet other areas, with a history as long as mankind has been recording temperatures, describing drastic weather events, etc. The important work of Klaus Hasselmann, with crucial contributions to the field, along with various other connected strands of work,is being reviewed and discussed in other chapters. The aim of the present chapter is to point to a few statistical methodology themes of relevance for and joint interest with climate statistics. These themes, presented from a statistical methods perspective, include (i) more careful modelling and model selection strategies for meteorological type time series; (ii) methods for prediction, not only for future values of a time series, but for assessing when a trend might be crossing a barrier, along with relevant measures of uncertainty for these; (iii) climatic influence on marine biology; (iv) monitoring processes to assess whether and then to what extent models and their parameters have stayed reasonably constant over time; (v) combination of outputs from different information sources; and (vi) analysing probabilities and their uncertainties related to extreme events.",该论文研究了如何从模型选择中大语言模型的问题。为模型选择领域提供了创新性的技术方案。
MESS: Multi-Epoch Spectroscopic Solver for Detecting Double-Lined Systems,10.0,2026-02-05,"Gil Nachmani, Simchon Faigler, Tsevi Mazeh","astro-ph.SR, astro-ph.IM",http://arxiv.org/abs/2602.05610v1,"We present MESS, a fully automated algorithm for identifying and characterizing double-lined spectroscopic binaries (SB2) in large databases of multi-epoch spectra. MESS extends the two-dimensional TODCOR approach to a global multi-epoch formalism, deriving the radial velocities (RVs) of both components at each epoch while optimizing the templates jointly across all observations. Template optimization searches a continuous synthetic-spectra manifold spanning an eight-dimensional parameter space: effective temperature, surface gravity, and rotational broadening for each star, together with a common metallicity and the flux ratio. Single-lined spectroscopic binaries (SB1) and single stars (S1) are handled within the same framework by fitting one optimized template, with either epoch-dependent RVs (SB1) or a single shared RV (S1). Model selection among S1/SB1/SB2 uses the Bayesian information criterion with an effective sample size that accounts for intra-spectrum correlations, and is complemented by the Wilson relation between the two RVs to infer the mass ratio and systemic velocity without a full orbital solution. We validate MESS on 1500 simulated LAMOST MRS systems (SNR=50), with primary RV semi-amplitudes predominantly below the instrumental resolution, achieving an overall classification accuracy of ~95%. We also derive full orbital solutions for two SB2 systems detected in our LAMOST analysis, including a faint-secondary case with flux ratio ~0.1, and present example outputs for one SB1 and three constant-velocity stars. A companion paper will report the survey-wide application to LAMOST DR11 and the resulting SB1/SB2 catalogs.",该论文研究了如何从模型选择中准确率的问题。在任务准确率方面达到了先进水平。
